224	-0.777309
224	-0.780411
224	-0.790797
224	-0.815355
224	-0.849540
220	-0.859254
220	-0.846251
220	-0.840505
220	-0.832579
220	-0.823669
220	-0.810945
216	-0.808002
216	-0.809179
216	-0.806541
216	-0.805398
216	-0.802563
216	-0.799442
216	-0.793412
216	-0.779814
208	-0.814933
208	-0.816682
208	-0.821326
208	-0.822458
208	-0.821671
200	-0.815420
200	-0.808069
200	-0.804621
200	-0.795026
200	-0.783658
200	-0.775901
200	-0.765658
196	-0.761127
196	-0.749512
196	-0.740890
196	-0.734832
196	-0.729493
196	-0.728842
196	-0.730138
192	-0.734948
192	-0.738017
192	-0.738919
192	-0.743500
192	-0.750372
192	-0.762376
192	-0.778028
188	-0.789345
188	-0.797048
188	-0.794578
188	-0.782574
188	-0.770982
188	-0.775208
188	-0.800961
184	-0.806277
184	-0.801377
184	-0.793273
184	-0.790098
184	-0.797298
184	-0.808941
184	-0.818365
180	-0.819083
180	-0.820516
180	-0.826456
180	-0.833592
180	-0.842786
180	-0.851635
180	-0.863863
176	-0.868940
176	-0.871289
176	-0.871169
176	-0.873121
176	-0.877444
172	-0.872747
168	-0.871020
168	-0.871285
168	-0.873982
168	-0.876380
168	-0.878848
168	-0.880635
168	-0.880835
164	-0.880421
164	-0.880311
164	-0.882308
164	-0.883489
164	-0.883998
164	-0.884718
164	-0.888989
164	-0.895077
160	-0.899945
160	-0.897092
160	-0.882329
160	-0.862822
160	-0.853132
160	-0.883758
156	-0.910976
156	-0.930359
156	-0.920405
156	-0.902645
156	-0.896976
156	-0.909253
156	-0.920238
152	-0.922294
152	-0.912904
152	-0.910485
152	-0.912646
152	-0.918197
152	-0.919722
152	-0.919242
152	-0.920206
148	-0.928342
148	-0.933768
148	-0.933801
148	-0.936471
148	-0.935765
148	-0.936022
148	-0.935667
144	-0.938092
144	-0.938160
144	-0.935195
144	-0.931511
144	-0.926776
144	-0.926592
144	-0.925154
136	-0.923620
136	-0.923799
136	-0.923961
136	-0.967197
136	-1.005041
136	-0.993161
132	-0.975002
132	-0.994104
132	-1.035680
132	-1.082589
132	-1.099252
132	-1.110744
228	-1.135190
228	-1.154251
228	-1.156726
228	-1.141355
228	-1.130857
228	-1.142684
228	-1.115974
224	-1.075057
224	-1.041898
224	-1.040014
224	-1.047578
224	-1.060036
224	-1.074137
224	-1.114008
320	-1.149750
320	-1.163970
320	-1.148500
320	-1.101795
320	-1.083809
320	-1.064762
316	-1.062670
316	-1.071937
316	-1.072239
316	-1.073131
316	-1.074229
316	-1.079466
316	-1.092318
312	-1.091167
312	-1.087512
312	-1.075986
312	-1.066473
312	-1.068264
312	-1.074361
312	-1.077446
308	-1.079573
308	-1.079902
308	-1.078745
308	-1.078744
308	-1.082723
304	-1.075141
300	-1.080370
