td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-171.467,-250.168,10000,-2.40295,-11.4788,-159.988,-159.952,-0.592689,7.31596,92.0214
-171.467,-250.168,10000,-2.48286,-11.4789,-159.989,-159.955,-0.592689,7.31477,92.0214
-171.467,-250.167,10000,-2.6119,-11.4785,-159.989,-159.957,0.0786982,7.31493,92.0269
-171.467,-250.167,10000,-2.71843,-11.4776,-159.99,-159.957,0.56698,7.31607,92.0324
-171.467,-250.166,10000,-2.74431,-11.4766,-159.991,-159.955,0.505944,7.31707,92.0269
-171.467,-250.166,10000,-2.75718,-11.4759,-159.992,-159.955,0.200769,7.31747,92.0269
-171.467,-250.166,10000,-2.75817,-11.4752,-159.992,-159.955,-0.226478,7.317,92.0324
-171.467,-250.166,10000,-2.74063,-11.4746,-159.993,-159.955,-0.165442,7.31667,92.0379
-171.467,-250.166,10000,-2.65133,-11.4741,-159.993,-159.952,0.200769,7.31706,92.0324
-171.467,-250.166,10000,-2.56301,-11.4741,-159.993,-159.952,0.139733,7.31734,92.0214
-171.467,-250.167,10000,-2.54366,-11.4742,-159.993,-159.955,-0.287513,7.31675,92.0324
-171.467,-250.167,10000,-2.51769,-11.4741,-159.993,-159.954,-0.226478,7.31629,92.0324
-171.467,-250.167,10000,-2.48723,-11.4741,-159.993,-159.954,0.200769,7.31669,92.0324
-171.467,-250.167,10000,-2.45453,-11.4742,-159.993,-159.954,0.0786982,7.31684,92.0324
-171.467,-250.167,10000,-2.46978,-11.4744,-159.993,-159.956,0.505944,7.31785,92.0214
-171.467,-250.167,10000,-2.54018,-11.4743,-159.993,-159.959,0.505944,7.31886,92.0214
-171.467,-250.167,10000,-2.60339,-11.4739,-159.994,-159.959,-0.104407,7.31865,92.0324
-171.467,-250.167,10000,-2.59363,-11.4733,-159.994,-159.956,0.383874,7.31942,92.0269
-171.467,-250.167,10000,-2.57953,-11.4731,-159.994,-159.956,0.0786982,7.31957,92.0269
-171.467,-250.167,10000,-2.61065,-11.4729,-159.995,-159.958,0.0176631,7.31959,92.0324
-171.467,-250.167,10000,-2.57286,-11.4724,-159.995,-159.956,0.139733,7.31986,92.0214
-171.467,-250.167,10000,-2.59196,-11.4723,-159.995,-159.958,-0.0433721,7.31977,92.0324
-171.467,-250.167,10000,-2.54452,-11.472,-159.995,-159.956,0.0786982,7.31992,92.0324
-171.467,-250.167,10000,-2.4438,-11.472,-159.994,-159.953,0.0176631,7.31996,92.0324
-171.467,-250.167,10000,-2.30424,-11.4725,-159.994,-159.95,0.200769,7.32036,92.0269
-171.467,-250.168,10000,-2.2445,-11.4734,-159.993,-159.953,0.0176631,7.32039,92.0324
-171.467,-250.168,10000,-2.14974,-11.4742,-159.992,-159.951,0.383874,7.32116,92.0324
-171.467,-250.169,10000,-2.03178,-11.4752,-159.99,-159.948,0.0786982,7.3213,92.0324
-171.467,-250.17,10000,-1.9501,-11.4767,-159.989,-159.949,-0.104407,7.32108,92.0214
-171.467,-250.17,10000,-2.01611,-11.4781,-159.988,-159.954,-0.226478,7.32062,92.0214
-171.467,-250.17,10000,-2.1541,-11.4788,-159.988,-159.957,0.0786982,7.32079,92.0214
-171.467,-250.169,10000,-2.34577,-11.4789,-159.989,-159.96,-0.104407,7.32058,92.0214
-171.467,-250.168,10000,-2.52436,-11.4783,-159.99,-159.96,-0.0433721,7.32048,92.0324
-171.467,-250.167,10000,-2.61916,-11.4775,-159.99,-159.957,0.322839,7.32113,92.0269
-171.467,-250.167,10000,-2.64768,-11.4767,-159.991,-159.955,-0.0433721,7.32104,92.0324
-171.467,-250.166,10000,-2.61156,-11.4762,-159.991,-159.952,-0.104407,7.32083,92.0324
-171.467,-250.167,10000,-2.57125,-11.476,-159.991,-159.952,0.261804,7.32135,92.0269
-171.467,-250.167,10000,-2.53744,-11.476,-159.991,-159.952,0.0176631,7.32138,92.0324
-171.467,-250.167,10000,-2.50216,-11.476,-159.991,-159.952,-0.287513,7.3208,92.0324
-171.467,-250.167,10000,-2.46757,-11.476,-159.991,-159.952,0.322839,7.32144,92.0269
-171.467,-250.167,10000,-2.44306,-11.4762,-159.991,-159.952,0.444909,7.32234,92.0324
-171.467,-250.167,10000,-2.372,-11.4763,-159.99,-159.95,-0.0433721,7.32225,92.0324
-171.467,-250.168,10000,-2.26647,-11.4768,-159.989,-159.948,0.139733,7.32253,92.0324
-171.467,-250.168,10000,-2.18598,-11.4777,-159.988,-159.948,-0.470618,7.32158,92.0324
-171.467,-250.169,10000,-2.08346,-11.4787,-159.987,-159.946,-0.470618,7.32063,92.0269
-171.467,-250.169,10000,-2.0728,-11.4799,-159.986,-159.949,0.0786982,7.32078,92.0324
-171.467,-250.169,10000,-2.08387,-11.4808,-159.985,-159.949,-0.165442,7.32044,92.0214
-171.467,-250.169,10000,-2.17776,-11.4816,-159.985,-159.952,-0.0433721,7.32036,92.0324
-171.467,-250.169,10000,-2.22364,-11.4818,-159.985,-159.95,0.261804,7.32088,92.0214
-171.467,-250.169,10000,-2.34117,-11.4821,-159.985,-159.953,0.0176631,7.3209,92.0214
-171.467,-250.168,10000,-2.51216,-11.4819,-159.986,-159.956,-0.165442,7.32056,92.0214
-171.467,-250.167,10000,-2.67041,-11.4811,-159.987,-159.956,-0.226478,7.3201,92.0269
-171.467,-250.166,10000,-2.80169,-11.4799,-159.988,-159.956,0.444909,7.32099,92.0324
-171.467,-250.166,10000,-2.84721,-11.4787,-159.989,-159.954,0.0786982,7.32115,92.0214
-171.467,-250.165,10000,-2.88265,-11.4776,-159.99,-159.954,0.0176631,7.32118,92.0214
-171.467,-250.165,10000,-2.95542,-11.4766,-159.992,-159.957,0.444909,7.32206,92.0214
-171.467,-250.165,10000,-3.05309,-11.4752,-159.993,-159.96,0.0176631,7.32211,92.0324
-171.467,-250.164,10000,-3.0533,-11.4735,-159.995,-159.957,-0.592689,7.32092,92.0214
-171.467,-250.164,10000,-3.08253,-11.4723,-159.996,-159.96,0.444909,7.3218,92.0324
-171.467,-250.164,10000,-3.02062,-11.4708,-159.997,-159.957,0.505944,7.32281,92.0214
-171.467,-250.164,10000,-2.99722,-11.4699,-159.998,-159.959,-0.0433721,7.32272,92.0269
