td_x1_d,adrc_u,eso_z3,eso_z2,esf_e1_d,eso_z1_d,yaw_actual,yaw_dps,yaw_imu_d,yawenc
-1.44172,0,0,0,0,-1.44172,-1.44172,0.322863,-1.44172,104.1
-1.44119,0,0,0,0,-1.44119,-1.44119,0.261823,-1.44119,104.1
-1.44165,0,0,0,0,-1.44165,-1.44165,-0.226494,-1.44165,104.106
-1.44234,0,0,0,0,-1.44234,-1.44235,-0.348574,-1.44235,104.095
-1.44206,0,0,0,0,-1.44206,-1.44206,0.139744,-1.44206,104.106
-1.44105,0,0,0,0,-1.44105,-1.44105,0.505982,-1.44105,104.1
-1.44003,0,0,0,0,-1.44003,-1.44003,0.505982,-1.44003,104.1
-1.44024,0,0,0,0,-1.44024,-1.44024,-0.104415,-1.44024,104.1
-1.44082,0,0,0,0,-1.44082,-1.44082,-0.287534,-1.44082,104.1
-1.44115,0,0,0,0,-1.44115,-1.44115,-0.165455,-1.44115,104.1
-1.44173,0,0,0,0,-1.44173,-1.44173,-0.287534,-1.44173,104.1
-1.44181,0,0,0,0,-1.44181,-1.44181,-0.0433753,-1.44181,104.1
-1.44141,0,0,0,0,-1.44141,-1.44141,0.200783,-1.44141,104.1
-1.44113,0,0,0,0,-1.44113,-1.44113,0.139744,-1.44113,104.089
-1.44073,0,0,0,0,-1.44073,-1.44073,0.200783,-1.44073,104.1
-1.44192,0,0,0,0,-1.44192,-1.44192,-0.592732,-1.44192,104.106
-1.44347,0,0,0,0,-1.44347,-1.44347,-0.775851,-1.44347,104.1
-1.44393,0,0,0,0,-1.44393,-1.44393,-0.226494,-1.44393,104.089
-1.44267,0,0,0,0,-1.44267,-1.44267,0.628061,-1.44267,104.106
-1.44324,0,0,0,0,-1.44324,-1.44324,-0.287534,-1.44324,104.1
-1.44443,0,0,0,0,-1.44443,-1.44443,-0.592732,-1.44443,104.106
-1.44428,0,0,0,0,-1.44428,-1.44428,0.078704,-1.44428,104.106
-1.44387,0,0,0,0,-1.44387,-1.44387,0.200783,-1.44387,104.1
-1.4442,0,0,0,0,-1.4442,-1.4442,-0.165455,-1.4442,104.1
-1.44417,0,0,0,0,-1.44417,-1.44417,0.0176644,-1.44417,104.1
-1.44303,0,0,0,0,-1.44303,-1.44303,0.567021,-1.44303,104.1
-1.4441,0,0,0,0,-1.4441,-1.4441,-0.531693,-1.4441,104.1
-1.4448,0,0,0,0,-1.4448,-1.4448,-0.348574,-1.4448,104.1
-1.44525,0,0,0,0,-1.44525,-1.44525,-0.226494,-1.44525,104.1
-1.44546,0,0,0,0,-1.44546,-1.44546,-0.104415,-1.44546,104.1
-1.44518,0,0,0,0,-1.44518,-1.44518,0.139744,-1.44518,104.1
-1.4449,0,0,0,0,-1.4449,-1.4449,0.139744,-1.4449,104.1
-1.44572,0,0,0,0,-1.44572,-1.44572,-0.409613,-1.44572,104.095
-1.44642,0,0,0,0,-1.44642,-1.44642,-0.348574,-1.44642,104.106
-1.44614,0,0,0,0,-1.44614,-1.44614,0.139744,-1.44614,104.095
-1.44512,0,0,0,0,-1.44512,-1.44513,0.505982,-1.44513,104.106
-1.44558,0,0,0,0,-1.44558,-1.44558,-0.226494,-1.44558,104.106
-1.44604,0,0,0,0,-1.44604,-1.44604,-0.226494,-1.44604,104.095
-1.44575,0,0,0,0,-1.44575,-1.44575,0.139744,-1.44575,104.1
-1.44584,0,0,0,0,-1.44584,-1.44584,-0.0433753,-1.44584,104.1
-1.44666,0,0,0,0,-1.44666,-1.44666,-0.409613,-1.44666,104.1
-1.44749,0,0,0,0,-1.44749,-1.44749,-0.409613,-1.44749,104.1
-1.44733,0,0,0,0,-1.44733,-1.44733,0.078704,-1.44733,104.1
-1.44692,0,0,0,0,-1.44692,-1.44692,0.200783,-1.44692,104.1
-1.44652,0,0,0,0,-1.44652,-1.44652,0.200783,-1.44652,104.111
-1.44624,0,0,0,0,-1.44624,-1.44624,0.139744,-1.44624,104.106
-1.44608,0,0,0,0,-1.44608,-1.44608,0.078704,-1.44608,104.106
-1.44678,0,0,0,0,-1.44678,-1.44678,-0.348574,-1.44678,104.1
-1.44724,0,0,0,0,-1.44724,-1.44724,-0.226494,-1.44724,104.1
-1.44696,0,0,0,0,-1.44696,-1.44696,0.139744,-1.44696,104.1
-1.44606,0,0,0,0,-1.44606,-1.44606,0.444942,-1.44606,104.106
-1.44578,0,0,0,0,-1.44578,-1.44578,0.139744,-1.44578,104.106
-1.44648,0,0,0,0,-1.44648,-1.44648,-0.348574,-1.44648,104.1
-1.44644,0,0,0,0,-1.44644,-1.44645,0.0176644,-1.44645,104.095
-1.44641,0,0,0,0,-1.44641,-1.44641,0.0176644,-1.44641,104.1
-1.44576,0,0,0,0,-1.44576,-1.44576,0.322863,-1.44576,104.1
-1.44572,0,0,0,0,-1.44572,-1.44572,0.0176644,-1.44572,104.1
-1.44618,0,0,0,0,-1.44618,-1.44618,-0.226494,-1.44618,104.1
-1.44712,0,0,0,0,-1.44712,-1.44712,-0.470653,-1.44712,104.1
-1.44733,0,0,0,0,-1.44733,-1.44733,-0.104415,-1.44733,104.1
-1.44619,0,0,0,0,-1.44619,-1.44619,0.567021,-1.44619,104.106
-1.44726,0,0,0,0,-1.44726,-1.44726,-0.531693,-1.44726,104.1
-1.44796,0,0,0,0,-1.44796,-1.44796,-0.348574,-1.44796,104.089
-1.44768,0,0,0,0,-1.44768,-1.44768,0.139744,-1.44768,104.1
-1.4474,0,0,0,0,-1.4474,-1.4474,0.139744,-1.4474,104.1
-1.447,0,0,0,0,-1.447,-1.447,0.200783,-1.447,104.106
-1.44684,0,0,0,0,-1.44684,-1.44684,0.078704,-1.44684,104.1
-1.44717,0,0,0,0,-1.44717,-1.44717,-0.165455,-1.44717,104.1
-1.44811,0,0,0,0,-1.44811,-1.44812,-0.470653,-1.44812,104.1
-1.44832,0,0,0,0,-1.44832,-1.44832,-0.104415,-1.44832,104.1
-1.44841,0,0,0,0,-1.44841,-1.44841,-0.0433753,-1.44841,104.1
-1.4485,0,0,0,0,-1.4485,-1.4485,-0.0433753,-1.4485,104.1
-1.44871,0,0,0,0,-1.44871,-1.44871,-0.104415,-1.44871,104.1
-1.44757,0,0,0,0,-1.44757,-1.44757,0.567021,-1.44757,104.1
-1.44704,0,0,0,0,-1.44704,-1.44704,0.261823,-1.44704,104.1
-1.44627,0,0,0,0,-1.44627,-1.44627,0.383902,-1.44627,104.106
-1.44599,0,0,0,0,-1.44599,-1.44599,0.139744,-1.44599,104.1
-1.44559,0,0,0,0,-1.44559,-1.44559,0.200783,-1.44559,104.106
